#	$Id$
#
# This file lists the names and the equivalent Red, Green, and Blue values
# of more than 500 unique colors that can be used as pen and fill attributes
# in GMT. Names are case insensitive. Any color can also be entered as
# R/G/B and gray tones can be referenced by just their gray value.
# For example, black can be entered as: 0/0/0, 0, gray0, Grey0, BLACK.
#
# For a graphic display of these colors, go to Appendix I of the
# "GMT Technical Reference and Cookbook", v.4.2.2 or later.
# The chart is also available as GMT_RGBchart_*.pdf in the GMT doc directory.
#
# This file is converted to gmt_color_rgb.h and gmt_colorname.h by the guru's
# make process described in src/GNUmakefile. It also updates GMT_N_COLOR_NAMES
# in gmt_dimensions.h. Changing this file at runtime has no affect.
#
# R   G   B     colorname
#-------------------------------------------------------------------------------
255 250 250 	snow
 13  13  13 	grey5
 15  15  15 	gray6
 15  15  15 	grey6
 18  18  18 	gray7
 18  18  18 	grey7
 20  20  20 	gray8
 20  20  20 	grey8
 23  23  23 	gray9
 23  23  23 	grey9
 26  26  26 	gray10
 26  26  26 	grey10
 28  28  28 	gray11
 28  28  28 	grey11
 31  31  31 	gray12
 31  31  31 	grey12
 33  33  33 	gray13
 33  33  33 	grey13
 36  36  36 	gray14
 36  36  36 	grey14
 38  38  38 	gray15
 38  38  38 	grey15
 41  41  41 	gray16
 41  41  41 	grey16
 43  43  43 	gray17
 43  43  43 	grey17
 46  46  46 	gray18
 46  46  46 	grey18
 48  48  48 	gray19
 48  48  48 	grey19
 51  51  51 	gray20
 51  51  51 	grey20
 54  54  54 	gray21
 54  54  54 	grey21
 56  56  56 	gray22
 56  56  56 	grey22
 59  59  59 	gray23
 59  59  59 	grey23
 61  61  61 	gray24
 61  61  61 	grey24
 64  64  64 	gray25
 64  64  64 	grey25
 66  66  66 	gray26
 66  66  66 	grey26
 69  69  69 	gray27
 69  69  69 	grey27
 71  71  71 	gray28
 71  71  71 	grey28
 74  74  74 	gray29
 74  74  74 	grey29
 77  77  77 	gray30
 77  77  77 	grey30
 79  79  79 	gray31
 79  79  79 	grey31
 82  82  82 	gray32
 82  82  82 	grey32
 84  84  84 	gray33
 84  84  84 	grey33
 87  87  87 	gray34
 87  87  87 	grey34
 89  89  89 	gray35
 89  89  89 	grey35
 92  92  92 	gray36
 92  92  92 	grey36
 94  94  94 	gray37
 94  94  94 	grey37
 97  97  97 	gray38
 97  97  97 	grey38
 99  99  99 	gray39
 99  99  99 	grey39
102 102 102 	gray40
102 102 102 	grey40
105 105 105 	gray41
105 105 105 	grey41
107 107 107 	gray42
107 107 107 	grey42
110 110 110 	gray43
110 110 110 	grey43
112 112 112 	gray44
112 112 112 	grey44
115 115 115 	gray45
115 115 115 	grey45
117 117 117 	gray46
117 117 117 	grey46
120 120 120 	gray47
120 120 120 	grey47
122 122 122 	gray48
122 122 122 	grey48
125 125 125 	gray49
125 125 125 	grey49
127 127 127 	gray50
127 127 127 	grey50
130 130 130 	gray51
130 130 130 	grey51
133 133 133 	gray52
133 133 133 	grey52
135 135 135 	gray53
135 135 135 	grey53
138 138 138 	gray54
138 138 138 	grey54
140 140 140 	gray55
140 140 140 	grey55
143 143 143 	gray56
143 143 143 	grey56
145 145 145 	gray57
145 145 145 	grey57
148 148 148 	gray58
148 148 148 	grey58
150 150 150 	gray59
150 150 150 	grey59
153 153 153 	gray60
153 153 153 	grey60
156 156 156 	gray61
156 156 156 	grey61
158 158 158 	gray62
158 158 158 	grey62
161 161 161 	gray63
161 161 161 	grey63
163 163 163 	gray64
163 163 163 	grey64
166 166 166 	gray65
166 166 166 	grey65
168 168 168 	gray66
168 168 168 	grey66
171 171 171 	gray67
171 171 171 	grey67
173 173 173 	gray68
173 173 173 	grey68
176 176 176 	gray69
176 176 176 	grey69
179 179 179 	gray70
179 179 179 	grey70
181 181 181 	gray71
181 181 181 	grey71
184 184 184 	gray72
184 184 184 	grey72
186 186 186 	gray73
186 186 186 	grey73
189 189 189 	gray74
189 189 189 	grey74
191 191 191 	gray75
191 191 191 	grey75
194 194 194 	gray76
194 194 194 	grey76
196 196 196 	gray77
196 196 196 	grey77
199 199 199 	gray78
199 199 199 	grey78
201 201 201 	gray79
201 201 201 	grey79
204 204 204 	gray80
204 204 204 	grey80
207 207 207 	gray81
207 207 207 	grey81
209 209 209 	gray82
209 209 209 	grey82
212 212 212 	gray83
212 212 212 	grey83
214 214 214 	gray84
214 214 214 	grey84
217 217 217 	gray85
217 217 217 	grey85
219 219 219 	gray86
219 219 219 	grey86
222 222 222 	gray87
222 222 222 	grey87
224 224 224 	gray88
224 224 224 	grey88
227 227 227 	gray89
227 227 227 	grey89
229 229 229 	gray90
229 229 229 	grey90
232 232 232 	gray91
232 232 232 	grey91
235 235 235 	gray92
235 235 235 	grey92
237 237 237 	gray93
237 237 237 	grey93
240 240 240 	gray94
240 240 240 	grey94
242 242 242 	gray95
242 242 242 	grey95
245 245 245 	gray96
245 245 245 	grey96
247 247 247 	gray97
247 247 247 	grey97
250 250 250 	gray98
250 250 250 	grey98
252 252 252 	gray99
252 252 252 	grey99
255 255 255 	gray100
255 255 255 	grey100
#-------------------------------------------------------------------------------
